	active|dispossess|goods|minimal
අමතරව	additionally|also|besides|extra
පෝෂ්‍ය	nutritive
ධනේශ්වරයා	millionaire
උඩුමහලේ	upstairs
උදරාධ්මානය	flatulence|flatulency
නිශ්කර්ශය	extract
ශිලාලේඛනය	epigraph|inscription
ලිතෝග්‍රාපිය	lithography
කල්බද්ද	lease
නින්දාසහගත	insulting|shameful|vituperative
සඩිකොලොන්	cologne
දෝෂාරෝපණත්වය	culpability
චක්‍රඡේද	cyclotomic
වැනිලින්	vanillin
තීව්‍රතාව	acuity|intensity
රිදීගානවා	silver
බිඳීම	breach|break|breakage|crack|cracking|refutation
ධාරාව	blast|current|flood
අප්‍රසිද්ධ	nameless|obscure|private|remote|retired|uncelebrated|unknown|unpopular
ටයිරොසින්	tyrosin
අවුල්මග	labyrinth
අධිකාරීහු	authorities
විරුද්ධභාසය	paradox
සංදාමනය	concatanation
හස්ත්‍රාව	bursae
භෞතිකවිද්‍යාව	physics
මැටිපා	clay-bowl
බටා	batta
නමහම	finish
නැට්ටුවා	dancer
මදිරා	liquor
නුවෝ	nouveau
ප්‍රානාදර්ශීෂය	cupola
ඉතින්	now|then
සංවත්සරික	annual
මජ්ජාභවනය	medullation
ආයත	longitudinal|oblong
කාලයෝගය	occasion
ඇගයුම	appraisal|assessment|valuation
මස්ලින්	muslin
තෘණමණි	amber
සැකැසුම	adjustment
මෙරජ	ray
ඇතුල්වීම	admission|admittance|entree
පාරානුච්ඡායා	diapositives
වැදහෝනා	reclining
උපදෙස	instruction
තුන්කල	past
වනබහුල	woody
ටැන්ගෝ	tango
අවජාත	baseborn|bastard|illegitimate
පරිරක්ෂක	preservative
ප්‍රශස්තිකාරයා	panegyrist
එකවරම	immediately
දශඅණ්ඩ	decagynous
කැලිනාව	calina
ඊගස	arrow
ක්විනිඩින්	quinidine
මිශ්‍ර	assorted|combined|complex|mixed
දේශකයා	lecturer|preacher
ක්‍රෑර	boorish|cruel|fierce|grim|hard|inhuman|pitiless|relentless|remorseless|ruthless|savage|tyrannical|unrelenting
වඳතුල	tumescent
ප්‍රතිසංසරණය	re-circulation|recirculation
පීඨකාධිපතියා	bureaucrat
වකගසනවා	crook
පිග්මි	pigmy
න්‍යායිකයා	theoretician|theorist
මාර්ග	method|road
අයත්	included
ෂඩාකාර	sixfold
ඔකැම්වාදය	ockhamism
නොසෙල්වී	fixedly
මාතෘශාසික	matriarchal
ඌරුමඩුව	piggery
ගෝපාලයා	cow-boy|cow-herd
අභිරුවකර	preferable
ඇබ්බැහිවෙලා	accustomed
නයිට්‍රොප්‍රසයිඩ්	nitroprusside
ටින්ක්චරය	tincture
විදුරු	diamond|glass
මුනින්දා	buddha
බැබළෙමින්	aglow
සිහිකරු	prompter
චූෂණ	suction
අකර්මන්‍යතාව	passivity
මංතලච්ච	trek-path
පිටගැස්ම	tetanus
තංකාව	thangka
පාදිකාව	pavement
මද්‍යුසාරී	alcoholic
මිථ්‍යාමතය	illusion
කළුවා	black
ඉඩහැරීම	allowance
සෞන්දර්යවාදියා	aesthetician
සංඥාකය	percept
තිණ	grass
අස්වැසිල්ල	consolation|solace
නිකට	chin
වැතිරි	prostrate
පූර්වප්‍රත්‍යය	pre-condition
සංවාදී	consonance
ව්‍යාජේක්ෂය	pseudoscope
ද්විවර්ගීය	biquadratic
හගිස්වනවා	ascertain|confirm
රජනී	night
සුබසාධනය	eudaemonia
විශදත්වය	clarity
භින්නාවේගික	schizoid
ලාභ්‍ය	dues
තුළ්‍යකාලිකතාව	isochronisms
නැතකින්	afterwards|lately
පරිහාරී	abient
පරෙස්සම	circumspection|circumspecttion|care|caution|effort|heed|safety|wariness
සාර්වභෞම	cosmopolitan|universal
අදියස	purpose
පරිණාමය	evolution|growth
රැව්දෙනවා	chime|resound
ද්‍රමාකාර	catenate
පාලම	bridge
තබක්ක	tombae
කුහන	cunning
මීමැසි	apian
ඇමෝනේට්	ammonate
කුවර්ධනය	maldevelopment
නිවනය	extinguisher
සිනිකඳ	anchor
එල්වාන්	elvan
මැනෝමීටරය	manometer
තාපදායක	exothermic
ආර්ද්‍රතාවය	humidification
සම්ප්‍රජන්‍ය	deliberate|diligent
වාණිජ්‍ය	commercial|mercantile
ආමක	raw|unripe
සියුම	fineness
තෙමියාව	wettability
ජනපදවාසීහු	coloni
මයිටෙකොන්ඩ්‍රියා	mitochondria
සෙළෙන්	surreptitiously
වෙරළාශ්‍රිත	coastal
බැගින්	apiece|at|by|per
සුරුක්කම	economy
අවනතිය	declination|decline|depression|gradient|incline|submission|yield
ආමලසය	chyme
ඈදුම	copula
එක්වෙනවා	join|unite
සමාරෝධනය	internment
නිරර්ථය	nonsense
ස්ථානනය	lociation
ලිපිහුවමාරුව	correspondence
මිතුරා	ally|buddy|confrere|friend
මන්ථකය	agitator
කාලානුක්‍රමය	chronology
සන්නයනමිතික	conductometric
ඝාත්	ghats
පරශු	axe
රටදෙහි	citron
යුනෙස්කෝව	unesco
ක්ෂාරීයතාව	alkalinity
ධනුෂ්පය	iris
ආහය	aa
ආයෝජකයා	investor
අපරිණතභාවය	immaturity
සිතුයම	painting
රූටනය	slide|slider
ආවේගායනය	impulsing
තරඟකරුවා	competitor|contendent|contestant
ව්‍යාපය	capacity
ලස්කෝ	lascaux
එලය	alburnum
සංරචක	component|components
පප්පා	papa
මානසවිචාරය	speculation
ශ්ලේෂ්මාධිකය	rheum
ප්‍රතිවරණය	recast
තනිපීල්ල	monorail
ගෙවන්නා	payer
ප්‍රලයාග්නිය	ecpyresis
සහය	assistance|power
නොහැකි	cannot|cant|impossible|incapable|powerless|unable
ශාන්තිපුර	nibbana
භ්‍රාන්තිය	error|fault|hallucination
චුම්භකත්‍ය	magnetism
මාතෘමූලික	matriarchal
සේවකයා	attendant|employee|empolyee|footman|myrmidon|retainer|scout|servant|servitor|underling|worker
ගහට	affliction|suffering
මුරහිටවනවා	picket
උඩුමණ්ඩි	laitance
විස්තරය	account|acount|annotation|apposition|comment|commentary|curriculum|description|descriptions|detail|explanation|expose|narration|narrative|note|picture|version
රෝමී	hirtellous
විකේන්ද්‍රායණය	decentralisation
අකාල	inopportune|premature|unseasonable|untimely
සඤ්ඡින්න	severed
දංශකය	mordant
කපෝත	dove|pigon
සඝය	avalanche|flood|stream
සුග්ලියා	zoogloca
පරොස්	fierce
අවම	bare|lowest|minimal|minimum
කල්දමනවා	defer
කර්පූර	camphor
මං	path|road
ඉන්ද්‍රගෝප	carnelian|firefly|glow-worm
කේතුකාව	conelet
ව්‍යහ	structural
වකුටුවීම	crouch
පිළිබැඳුම	encumbrance|encumbrance|incumbrance
උරගානවා	test
අපිජඨරය	epigastrium
පුෂ්පකෝෂය	calyx
ඩයොක්සීන්	dioxin
මැහුම	stitch
මුවරදද	cupid
ප්‍රස්ථිතිය	predisposition
ඈවරයි	end|over
රේහ්මන්	Rahmen
සෙනෙවිරත්	commander
නිවේදක	announcer
ස්පැසේලීය	sphacelia
නිහතමානි	condescending
හහා	alas
මත්බව	tipsiness
අභිසරණ	converging
ව්‍යාජශුක්‍රාණුව	pseudosperm
නිරපේක්ෂිත	sudden
ගුණාංග	qualities
අසංස්ථිතික	unconstitutional
සෞඛ්‍යාරක්ෂක	sanitary
හාක්කය	hook
පාරිභෝගිකයා	consumer|customer
අභිඥාන	noetic
සුඛාවහ	gratifying
භෞතික	constitutive|elemental|material|physical
වාඩිලනවා	camp|stay
කෙකරගානවා	cackle
ඝනජය	cubic
කොඇගුලින්	coagulin
පීඩතාපකය	autoclave
වාතකේතු	dust
පාලින්ද	jasmine
කරණීය	imperative|mandatory
සෘතුවිරාම	climacteric|climactic
මඳවටකුරු	subrotund
ඇල්ඩෝලේස්	aldolase
සංගීතඥයා	musician
ක්‍රියකාරීත්වවාදය	operationalism
සීමාකෘත	limited
මස	flesh|month
රජබව	kingship
කිනිහිරය	anvil
තිමිරය	cataract
පාරමිශ්‍රලෝහය	permalloy
ත්‍රිපාර්ශ්වය	prism
යාපනය	yapanaya
ප්‍රකාශචලනය	photokinesis
ගෘහස්ථක්‍රීඩාංගණය	gymnasium
සුඛාස්වාදය	delight
ලැටරිකරණය	laterisation
බුරනවා	bark|bawl|bay|yap|yelp
උණ	bamboo|fever|pyrexia|warmth
වර්ති	wick
නිහ්ශෝභ	natural
සීදේවී	ducky
උමතු	crazy|delirious|distracted|franktic|frenetic|insane|mad|maniacal|manic|rabid|screwy
බලුමැක්කා	hopper
වෙසෙස	difference
අංශීකරණය	departmentalization
අනුගාමිකයා	client|follower
සමුදාව	army|batch|group
දෘශ්‍යමාන	apparent|visible|visual
අදමිටු	unjust|unrighteous
ව්‍යාජසේවනිය	pseudoraphe
ඝර්ෂණමානය	tribometer
සභාගය	coalition
අවසිරීම	abrasion
සම්පදාර්ථවාදය	syncategorism
සළුපිළි	clothes
සුනංගුවෙන්	tardily
තනිකර	pure|separate
උද්දේශ්‍ය	fiducial
ඊශ්වරත්වය	godhead
උදක	water
ඡේදක	cutting|severing
ඇඹලයා	ant
පුෂ්පාහය	anthodium
කොච්වනිල්	cochineal
සමචාරිතාව	coherence
අයදින	beseeching
හොබවනවා	adorn
බීජචෝලීය	carunculate
අස්කැරැගන්නවා	retract
අඟල	inch
යුරෝඩොලර්	euro-dollars
තැවුණු	adust
ටෙස්ලාව	tesla
බමන	spinning
ඓංගය	nystagmus
අංකුටය	barbel
බාවනවා	couch|cradle|kill|stretch
නිදැලිය	freeboard
අභිනන්දන	felicific
මානවකෘතිය	artifact
ආදිම	archaen|original|primal|primordial
සාධාරික	generalized
සමුදුර	sea
සයිලොග්‍රාපිය	xylography
හීවිට	furrow|groove
අත්‍යණුකය	infinitesimal
සබ්ඔක්සයිඩ්	suboxide
ප්‍රකාශෝක්තිය	avowals
බහුපතික්‍රමය	polyandry
එකසෛලික	unicell
ප්ලැන්ක්ටන්	plankton
පුනර්ගෘහීත	resumed
අද්දැකුම්වාදය	experientialism
අල්ට්‍රාලෙන්ටෙ	ultralente
ලින්ටලය	lintel
පාරිපෝෂ්‍ය	maintainable
තාර	bitumen|tar
ප්‍රත්‍යවේක්ෂා	retrospective
තවනවා	ferment|foment|heat
වෘක්ෂශ්‍රෙණිය	avenue
වාඩිය	camp|hut|lodge
අප්පේ	alas|oh.
වහ්	fie|fy|phew|pooh|pshaw|pugh!|tut
හුදෙකලාවම	lonely
යුගෙන්ස්ටීල්	jugendstil
සතත	constant|continuous
